origin,dest,t
1583,1525,1970-01-01T09:17:40Z
1553,1525,1970-01-01T09:17:40Z
1510,1553,1970-01-01T09:17:40Z
1583,1510,1970-01-01T09:17:40Z
1510,1525,1970-01-01T09:18:00Z
1583,1553,1970-01-01T09:18:00Z
1583,1525,1970-01-01T09:18:00Z
1553,1525,1970-01-01T09:18:00Z
1510,1553,1970-01-01T09:18:00Z
1583,1510,1970-01-01T09:18:00Z
1519,1549,1970-01-01T09:18:20Z
1510,1525,1970-01-01T09:18:20Z
1583,1553,1970-01-01T09:18:20Z
1583,1525,1970-01-01T09:18:20Z
1553,1525,1970-01-01T09:18:20Z
1510,1553,1970-01-01T09:18:20Z
1583,1510,1970-01-01T09:18:20Z
1622,1529,1970-01-01T09:18:40Z
1510,1525,1970-01-01T09:18:40Z
1583,1553,1970-01-01T09:18:40Z
1583,1525,1970-01-01T09:18:40Z
1553,1525,1970-01-01T09:18:40Z
1510,1553,1970-01-01T09:18:40Z
1583,1510,1970-01-01T09:18:40Z
1510,1525,1970-01-01T09:19:00Z
1583,1553,1970-01-01T09:19:00Z
1583,1525,1970-01-01T09:19:00Z
1553,1525,1970-01-01T09:19:00Z
1510,1553,1970-01-01T09:19:00Z
1583,1510,1970-01-01T09:19:00Z
1510,1525,1970-01-01T09:19:20Z
1583,1553,1970-01-01T09:19:20Z
1583,1525,1970-01-01T09:19:20Z
1553,1523,1970-01-01T09:19:20Z
1553,1525,1970-01-01T09:19:20Z
1510,1553,1970-01-01T09:19:20Z
1583,1510,1970-01-01T09:19:20Z
1510,1525,1970-01-01T09:19:40Z
1583,1553,1970-01-01T09:19:40Z
1583,1525,1970-01-01T09:19:40Z
1553,1523,1970-01-01T09:19:40Z
1553,1525,1970-01-01T09:19:40Z
1523,1525,1970-01-01T09:19:40Z
1510,1553,1970-01-01T09:19:40Z
1583,1523,1970-01-01T09:19:40Z
1583,1510,1970-01-01T09:19:40Z
1510,1553,1970-01-01T09:20:00Z
1510,1599,1970-01-01T09:20:00Z
1583,1523,1970-01-01T09:20:00Z
1513,1560,1970-01-01T09:20:00Z
1523,1599,1970-01-01T09:20:00Z
1525,1599,1970-01-01T09:20:00Z
1510,1523,1970-01-01T09:20:00Z
1583,1510,1970-01-01T09:20:00Z
1553,1525,1970-01-01T09:20:20Z
1523,1525,1970-01-01T09:20:20Z
1513,1560,1970-01-01T09:20:20Z
1523,1599,1970-01-01T09:20:20Z
1525,1599,1970-01-01T09:20:20Z
1510,1523,1970-01-01T09:20:20Z
1583,1510,1970-01-01T09:20:20Z
1513,1560,1970-01-01T09:20:40Z
1523,1599,1970-01-01T09:20:40Z
1525,1599,1970-01-01T09:20:40Z
1510,1523,1970-01-01T09:20:40Z
1583,1510,1970-01-01T09:20:40Z
1602,1631,1970-01-01T09:21:00Z
1583,1553,1970-01-01T09:21:00Z
1525,1599,1970-01-01T09:21:00Z
1510,1553,1970-01-01T09:21:00Z
1510,1523,1970-01-01T09:21:00Z
1583,1523,1970-01-01T09:21:00Z
1553,1523,1970-01-01T09:21:00Z
1583,1510,1970-01-01T09:21:00Z
1510,1553,1970-01-01T09:21:20Z
1510,1523,1970-01-01T09:21:20Z
1583,1523,1970-01-01T09:21:20Z
1553,1523,1970-01-01T09:21:20Z
1553,1525,1970-01-01T09:21:20Z
1553,1599,1970-01-01T09:21:20Z
1523,1599,1970-01-01T09:21:20Z
1523,1525,1970-01-01T09:21:20Z
1583,1510,1970-01-01T09:21:20Z
1510,1599,1970-01-01T09:21:40Z
1583,1599,1970-01-01T09:21:40Z
1602,1631,1970-01-01T09:21:40Z
1583,1510,1970-01-01T09:21:40Z
1583,1525,1970-01-01T09:22:00Z
1583,1599,1970-01-01T09:22:00Z
1599,1525,1970-01-01T09:22:00Z
1602,1631,1970-01-01T09:22:00Z
1510,1525,1970-01-01T09:22:00Z
1523,1525,1970-01-01T09:22:00Z
1573,1519,1970-01-01T09:22:00Z
1537,1560,1970-01-01T09:22:00Z
1599,1523,1970-01-01T09:22:00Z
1583,1510,1970-01-01T09:22:00Z
1573,1519,1970-01-01T09:22:20Z
1537,1560,1970-01-01T09:22:20Z
1599,1523,1970-01-01T09:22:20Z
1583,1510,1970-01-01T09:22:20Z
1537,1560,1970-01-01T09:22:40Z
1599,1523,1970-01-01T09:22:40Z
1583,1510,1970-01-01T09:22:40Z
1602,1631,1970-01-01T09:23:00Z
1599,1523,1970-01-01T09:23:00Z
1583,1510,1970-01-01T09:23:00Z
1583,1599,1970-01-01T09:23:20Z
1599,1510,1970-01-01T09:23:20Z
1583,1519,1970-01-01T09:23:20Z
1602,1631,1970-01-01T09:23:20Z
1599,1523,1970-01-01T09:23:20Z
1583,1510,1970-01-01T09:23:20Z
1583,1519,1970-01-01T09:23:40Z
1519,1525,1970-01-01T09:23:40Z
1602,1631,1970-01-01T09:23:40Z
1599,1523,1970-01-01T09:23:40Z
1583,1510,1970-01-01T09:23:40Z
1602,1631,1970-01-01T09:24:00Z
1599,1523,1970-01-01T09:24:00Z
1583,1510,1970-01-01T09:24:00Z
1560,1531,1970-01-01T09:24:20Z
1602,1631,1970-01-01T09:24:20Z
1599,1523,1970-01-01T09:24:20Z
1583,1510,1970-01-01T09:24:20Z
1602,1631,1970-01-01T09:24:40Z
1523,1531,1970-01-01T09:24:40Z
1599,1523,1970-01-01T09:24:40Z
1583,1510,1970-01-01T09:24:40Z
1539,1568,1970-01-01T09:25:00Z
1599,1604,1970-01-01T09:25:00Z
1602,1631,1970-01-01T09:25:00Z
1599,1531,1970-01-01T09:25:00Z
1523,1531,1970-01-01T09:25:00Z
1604,1531,1970-01-01T09:25:00Z
1599,1523,1970-01-01T09:25:00Z
1583,1510,1970-01-01T09:25:00Z
1599,1531,1970-01-01T09:25:20Z
1523,1531,1970-01-01T09:25:20Z
1604,1531,1970-01-01T09:25:20Z
1599,1523,1970-01-01T09:25:20Z
1583,1510,1970-01-01T09:25:20Z
1599,1529,1970-01-01T09:25:40Z
1599,1510,1970-01-01T09:25:40Z
1604,1531,1970-01-01T09:25:40Z
1599,1525,1970-01-01T09:25:40Z
1599,1523,1970-01-01T09:25:40Z
1602,1631,1970-01-01T09:25:40Z
1583,1510,1970-01-01T09:25:40Z
1529,1523,1970-01-01T09:26:00Z
1510,1523,1970-01-01T09:26:00Z
1583,1599,1970-01-01T09:26:00Z
1599,1529,1970-01-01T09:26:00Z
1599,1510,1970-01-01T09:26:00Z
1604,1531,1970-01-01T09:26:00Z
1599,1525,1970-01-01T09:26:00Z
1599,1523,1970-01-01T09:26:00Z
1602,1631,1970-01-01T09:26:00Z
1583,1510,1970-01-01T09:26:00Z
1583,1599,1970-01-01T09:26:20Z
1599,1529,1970-01-01T09:26:20Z
1599,1510,1970-01-01T09:26:20Z
1604,1531,1970-01-01T09:26:20Z
1599,1525,1970-01-01T09:26:20Z
1549,1525,1970-01-01T09:26:20Z
1599,1523,1970-01-01T09:26:20Z
1602,1631,1970-01-01T09:26:20Z
1583,1510,1970-01-01T09:26:20Z
1543,1513,1970-01-01T09:26:40Z
1544,1573,1970-01-01T09:26:40Z
1599,1525,1970-01-01T09:26:40Z
1549,1525,1970-01-01T09:26:40Z
1599,1523,1970-01-01T09:26:40Z
1602,1631,1970-01-01T09:26:40Z
1583,1510,1970-01-01T09:26:40Z
1583,1599,1970-01-01T09:27:00Z
1599,1529,1970-01-01T09:27:00Z
1599,1510,1970-01-01T09:27:00Z
1549,1525,1970-01-01T09:27:00Z
1599,1523,1970-01-01T09:27:00Z
1602,1631,1970-01-01T09:27:00Z
1583,1510,1970-01-01T09:27:00Z
1543,1513,1970-01-01T09:27:20Z
1599,1529,1970-01-01T09:27:20Z
1599,1510,1970-01-01T09:27:20Z
1549,1525,1970-01-01T09:27:20Z
1599,1523,1970-01-01T09:27:20Z
1602,1631,1970-01-01T09:27:20Z
1583,1510,1970-01-01T09:27:20Z
1583,1599,1970-01-01T09:27:40Z
1599,1529,1970-01-01T09:27:40Z
1599,1510,1970-01-01T09:27:40Z
1544,1573,1970-01-01T09:27:40Z
1549,1525,1970-01-01T09:27:40Z
1599,1523,1970-01-01T09:27:40Z
1602,1631,1970-01-01T09:27:40Z
1583,1510,1970-01-01T09:27:40Z
1599,1529,1970-01-01T09:28:00Z
1599,1510,1970-01-01T09:28:00Z
1604,1531,1970-01-01T09:28:00Z
1519,1523,1970-01-01T09:28:00Z
1544,1573,1970-01-01T09:28:00Z
1549,1525,1970-01-01T09:28:00Z
1599,1523,1970-01-01T09:28:00Z
1602,1631,1970-01-01T09:28:00Z
1583,1510,1970-01-01T09:28:00Z
1544,1573,1970-01-01T09:28:20Z
1549,1525,1970-01-01T09:28:20Z
1599,1523,1970-01-01T09:28:20Z
1602,1631,1970-01-01T09:28:20Z
1583,1510,1970-01-01T09:28:20Z
1544,1549,1970-01-01T09:28:40Z
1544,1525,1970-01-01T09:28:40Z
1544,1599,1970-01-01T09:28:40Z
1549,1525,1970-01-01T09:28:40Z
1599,1525,1970-01-01T09:28:40Z
1599,1523,1970-01-01T09:28:40Z
1544,1523,1970-01-01T09:28:40Z
1602,1631,1970-01-01T09:28:40Z
1604,1531,1970-01-01T09:28:40Z
1583,1510,1970-01-01T09:28:40Z
1544,1583,1970-01-01T09:29:00Z
1544,1525,1970-01-01T09:29:00Z
1544,1599,1970-01-01T09:29:00Z
1549,1525,1970-01-01T09:29:00Z
1599,1525,1970-01-01T09:29:00Z
1599,1523,1970-01-01T09:29:00Z
1544,1523,1970-01-01T09:29:00Z
1544,1510,1970-01-01T09:29:00Z
1602,1631,1970-01-01T09:29:00Z
1604,1531,1970-01-01T09:29:00Z
1583,1510,1970-01-01T09:29:00Z
1599,1523,1970-01-01T09:29:20Z
1525,1529,1970-01-01T09:29:20Z
1544,1523,1970-01-01T09:29:20Z
1544,1510,1970-01-01T09:29:20Z
1602,1631,1970-01-01T09:29:20Z
1604,1531,1970-01-01T09:29:20Z
1583,1510,1970-01-01T09:29:20Z
1544,1523,1970-01-01T09:29:40Z
1544,1510,1970-01-01T09:29:40Z
1523,1525,1970-01-01T09:29:40Z
1544,1599,1970-01-01T09:29:40Z
1602,1631,1970-01-01T09:29:40Z
1583,1525,1970-01-01T09:29:40Z
1544,1525,1970-01-01T09:29:40Z
1604,1531,1970-01-01T09:29:40Z
1583,1510,1970-01-01T09:29:40Z
1544,1599,1970-01-01T09:30:00Z
1602,1631,1970-01-01T09:30:00Z
1526,1531,1970-01-01T09:30:00Z
1583,1525,1970-01-01T09:30:00Z
1544,1525,1970-01-01T09:30:00Z
1604,1531,1970-01-01T09:30:00Z
1599,1523,1970-01-01T09:30:00Z
1583,1510,1970-01-01T09:30:00Z
1602,1631,1970-01-01T09:30:20Z
1526,1531,1970-01-01T09:30:20Z
1510,1525,1970-01-01T09:30:20Z
1583,1525,1970-01-01T09:30:20Z
1544,1525,1970-01-01T09:30:20Z
1604,1531,1970-01-01T09:30:20Z
1599,1523,1970-01-01T09:30:20Z
1583,1510,1970-01-01T09:30:20Z
1510,1525,1970-01-01T09:30:40Z
1583,1525,1970-01-01T09:30:40Z
1544,1525,1970-01-01T09:30:40Z
1604,1531,1970-01-01T09:30:40Z
1582,1523,1970-01-01T09:30:40Z
1582,1599,1970-01-01T09:30:40Z
1599,1523,1970-01-01T09:30:40Z
1583,1510,1970-01-01T09:30:40Z
1549,1525,1970-01-01T09:31:00Z
1583,1525,1970-01-01T09:31:00Z
1602,1631,1970-01-01T09:31:00Z
1544,1525,1970-01-01T09:31:00Z
1604,1531,1970-01-01T09:31:00Z
1582,1523,1970-01-01T09:31:00Z
1582,1599,1970-01-01T09:31:00Z
1599,1523,1970-01-01T09:31:00Z
1583,1510,1970-01-01T09:31:00Z
1544,1525,1970-01-01T09:31:20Z
1551,1269,1970-01-01T09:31:20Z
1604,1531,1970-01-01T09:31:20Z
1582,1523,1970-01-01T09:31:20Z
1582,1599,1970-01-01T09:31:20Z
1599,1523,1970-01-01T09:31:20Z
1583,1510,1970-01-01T09:31:20Z
1463,1628,1970-01-01T09:31:40Z
1604,1531,1970-01-01T09:31:40Z
1519,1523,1970-01-01T09:31:40Z
1582,1523,1970-01-01T09:31:40Z
1582,1599,1970-01-01T09:31:40Z
1599,1523,1970-01-01T09:31:40Z
1549,1525,1970-01-01T09:31:40Z
1583,1510,1970-01-01T09:31:40Z
1552,1600,1970-01-01T09:32:00Z
1582,1523,1970-01-01T09:32:00Z
1582,1599,1970-01-01T09:32:00Z
1602,1631,1970-01-01T09:32:00Z
1599,1523,1970-01-01T09:32:00Z
1549,1525,1970-01-01T09:32:00Z
1583,1510,1970-01-01T09:32:00Z
1551,1269,1970-01-01T09:32:20Z
1599,1523,1970-01-01T09:32:20Z
1549,1525,1970-01-01T09:32:20Z
1604,1531,1970-01-01T09:32:20Z
1583,1510,1970-01-01T09:32:20Z
1544,1523,1970-01-01T09:32:40Z
1551,1514,1970-01-01T09:32:40Z
1551,1269,1970-01-01T09:32:40Z
1591,1531,1970-01-01T09:32:40Z
1544,1599,1970-01-01T09:32:40Z
1599,1523,1970-01-01T09:32:40Z
1549,1525,1970-01-01T09:32:40Z
1604,1531,1970-01-01T09:32:40Z
1583,1510,1970-01-01T09:32:40Z
1591,1604,1970-01-01T09:33:00Z
1551,1514,1970-01-01T09:33:00Z
1551,1269,1970-01-01T09:33:00Z
1591,1531,1970-01-01T09:33:00Z
1602,1631,1970-01-01T09:33:00Z
1544,1599,1970-01-01T09:33:00Z
1599,1523,1970-01-01T09:33:00Z
1549,1525,1970-01-01T09:33:00Z
1604,1531,1970-01-01T09:33:00Z
1583,1510,1970-01-01T09:33:00Z
1544,1523,1970-01-01T09:33:20Z
1547,1504,1970-01-01T09:33:20Z
1551,1514,1970-01-01T09:33:20Z
1551,1269,1970-01-01T09:33:20Z
1552,1600,1970-01-01T09:33:20Z
1591,1531,1970-01-01T09:33:20Z
1602,1631,1970-01-01T09:33:20Z
1523,1529,1970-01-01T09:33:20Z
1544,1599,1970-01-01T09:33:20Z
1599,1523,1970-01-01T09:33:20Z
1549,1525,1970-01-01T09:33:20Z
1604,1531,1970-01-01T09:33:20Z
1583,1510,1970-01-01T09:33:20Z
1544,1599,1970-01-01T09:33:40Z
1599,1523,1970-01-01T09:33:40Z
1510,1529,1970-01-01T09:33:40Z
1523,1525,1970-01-01T09:33:40Z
1599,1529,1970-01-01T09:33:40Z
1549,1525,1970-01-01T09:33:40Z
1604,1531,1970-01-01T09:33:40Z
1583,1510,1970-01-01T09:33:40Z
1544,1525,1970-01-01T09:34:00Z
1544,1510,1970-01-01T09:34:00Z
1599,1529,1970-01-01T09:34:00Z
1600,1523,1970-01-01T09:34:00Z
1601,1604,1970-01-01T09:34:00Z
1510,1525,1970-01-01T09:34:00Z
1549,1525,1970-01-01T09:34:00Z
1463,1628,1970-01-01T09:34:00Z
1604,1531,1970-01-01T09:34:00Z
1583,1510,1970-01-01T09:34:00Z
1544,1600,1970-01-01T09:34:20Z
1544,1523,1970-01-01T09:34:20Z
1549,1525,1970-01-01T09:34:20Z
1599,1510,1970-01-01T09:34:20Z
1519,1523,1970-01-01T09:34:20Z
1463,1628,1970-01-01T09:34:20Z
1599,1523,1970-01-01T09:34:20Z
1602,1631,1970-01-01T09:34:20Z
1604,1531,1970-01-01T09:34:20Z
1583,1510,1970-01-01T09:34:20Z
1463,1628,1970-01-01T09:34:40Z
1599,1523,1970-01-01T09:34:40Z
1601,1629,1970-01-01T09:34:40Z
1599,1529,1970-01-01T09:34:40Z
1602,1631,1970-01-01T09:34:40Z
1604,1531,1970-01-01T09:34:40Z
1583,1510,1970-01-01T09:34:40Z
1544,1529,1970-01-01T09:35:00Z
1549,1523,1970-01-01T09:35:00Z
1601,1629,1970-01-01T09:35:00Z
1616,1518,1970-01-01T09:35:00Z
1547,1504,1970-01-01T09:35:00Z
1599,1529,1970-01-01T09:35:00Z
1544,1599,1970-01-01T09:35:00Z
1549,1519,1970-01-01T09:35:00Z
1602,1631,1970-01-01T09:35:00Z
1604,1531,1970-01-01T09:35:00Z
1583,1510,1970-01-01T09:35:00Z
1547,1504,1970-01-01T09:35:20Z
1599,1529,1970-01-01T09:35:20Z
1523,1529,1970-01-01T09:35:20Z
1544,1599,1970-01-01T09:35:20Z
1549,1519,1970-01-01T09:35:20Z
1602,1631,1970-01-01T09:35:20Z
1604,1531,1970-01-01T09:35:20Z
1583,1510,1970-01-01T09:35:20Z
1544,1529,1970-01-01T09:35:40Z
1544,1599,1970-01-01T09:35:40Z
1549,1519,1970-01-01T09:35:40Z
1600,1519,1970-01-01T09:35:40Z
1602,1631,1970-01-01T09:35:40Z
1604,1531,1970-01-01T09:35:40Z
1551,1269,1970-01-01T09:35:40Z
1583,1510,1970-01-01T09:35:40Z
1544,1523,1970-01-01T09:36:00Z
1600,1519,1970-01-01T09:36:00Z
1602,1631,1970-01-01T09:36:00Z
1604,1531,1970-01-01T09:36:00Z
1463,1628,1970-01-01T09:36:00Z
1551,1269,1970-01-01T09:36:00Z
1616,1518,1970-01-01T09:36:00Z
1599,1523,1970-01-01T09:36:00Z
1583,1510,1970-01-01T09:36:00Z
1544,1529,1970-01-01T09:36:20Z
1551,1514,1970-01-01T09:36:20Z
1551,1269,1970-01-01T09:36:20Z
1616,1518,1970-01-01T09:36:20Z
1547,1504,1970-01-01T09:36:20Z
1599,1523,1970-01-01T09:36:20Z
1583,1510,1970-01-01T09:36:20Z
1544,1599,1970-01-01T09:36:40Z
1547,1504,1970-01-01T09:36:40Z
1691,1518,1970-01-01T09:36:40Z
1600,1519,1970-01-01T09:36:40Z
1599,1523,1970-01-01T09:36:40Z
1604,1531,1970-01-01T09:36:40Z
1583,1510,1970-01-01T09:36:40Z
1544,1529,1970-01-01T09:37:00Z
1599,1523,1970-01-01T09:37:00Z
1604,1531,1970-01-01T09:37:00Z
1551,1514,1970-01-01T09:37:00Z
1602,1631,1970-01-01T09:37:00Z
1583,1510,1970-01-01T09:37:00Z
1544,1529,1970-01-01T09:37:20Z
1545,1580,1970-01-01T09:37:20Z
1549,1523,1970-01-01T09:37:20Z
1616,1518,1970-01-01T09:37:20Z
1549,1599,1970-01-01T09:37:20Z
1599,1523,1970-01-01T09:37:20Z
1604,1531,1970-01-01T09:37:20Z
1551,1514,1970-01-01T09:37:20Z
1602,1631,1970-01-01T09:37:20Z
1583,1510,1970-01-01T09:37:20Z
1549,1599,1970-01-01T09:37:40Z
1599,1523,1970-01-01T09:37:40Z
1604,1531,1970-01-01T09:37:40Z
1544,1599,1970-01-01T09:37:40Z
1551,1514,1970-01-01T09:37:40Z
1602,1631,1970-01-01T09:37:40Z
1583,1510,1970-01-01T09:37:40Z
1544,1529,1970-01-01T09:38:00Z
1544,1599,1970-01-01T09:38:00Z
1544,1523,1970-01-01T09:38:00Z
1551,1514,1970-01-01T09:38:00Z
1616,1518,1970-01-01T09:38:00Z
1600,1519,1970-01-01T09:38:00Z
1602,1631,1970-01-01T09:38:00Z
1583,1510,1970-01-01T09:38:00Z
1523,1529,1970-01-01T09:38:20Z
1544,1523,1970-01-01T09:38:20Z
1551,1514,1970-01-01T09:38:20Z
1616,1518,1970-01-01T09:38:20Z
1600,1519,1970-01-01T09:38:20Z
1602,1631,1970-01-01T09:38:20Z
1583,1510,1970-01-01T09:38:20Z
1544,1523,1970-01-01T09:38:40Z
1551,1514,1970-01-01T09:38:40Z
1616,1518,1970-01-01T09:38:40Z
1600,1519,1970-01-01T09:38:40Z
1602,1631,1970-01-01T09:38:40Z
1604,1531,1970-01-01T09:38:40Z
1583,1510,1970-01-01T09:38:40Z
1544,1523,1970-01-01T09:39:00Z
1549,1529,1970-01-01T09:39:00Z
1551,1514,1970-01-01T09:39:00Z
1616,1518,1970-01-01T09:39:00Z
1600,1519,1970-01-01T09:39:00Z
1602,1631,1970-01-01T09:39:00Z
1604,1531,1970-01-01T09:39:00Z
1583,1510,1970-01-01T09:39:00Z
1539,1549,1970-01-01T09:39:20Z
1600,1523,1970-01-01T09:39:20Z
1600,1519,1970-01-01T09:39:20Z
1601,1629,1970-01-01T09:39:20Z
1602,1631,1970-01-01T09:39:20Z
1544,1529,1970-01-01T09:39:20Z
1604,1531,1970-01-01T09:39:20Z
1519,1523,1970-01-01T09:39:20Z
1583,1510,1970-01-01T09:39:20Z
1544,1529,1970-01-01T09:39:40Z
1544,1583,1970-01-01T09:39:40Z
1604,1531,1970-01-01T09:39:40Z
1616,1518,1970-01-01T09:39:40Z
1544,1510,1970-01-01T09:39:40Z
1519,1523,1970-01-01T09:39:40Z
1583,1510,1970-01-01T09:39:40Z
1544,1510,1970-01-01T09:40:00Z
1600,1523,1970-01-01T09:40:00Z
1539,1544,1970-01-01T09:40:00Z
1600,1519,1970-01-01T09:40:00Z
1519,1523,1970-01-01T09:40:00Z
1539,1529,1970-01-01T09:40:00Z
1583,1510,1970-01-01T09:40:00Z
1600,1523,1970-01-01T09:40:20Z
1604,1531,1970-01-01T09:40:20Z
1539,1544,1970-01-01T09:40:20Z
1600,1519,1970-01-01T09:40:20Z
1602,1631,1970-01-01T09:40:20Z
1519,1523,1970-01-01T09:40:20Z
1539,1529,1970-01-01T09:40:20Z
1583,1510,1970-01-01T09:40:20Z
1539,1544,1970-01-01T09:40:40Z
1539,1600,1970-01-01T09:40:40Z
1600,1519,1970-01-01T09:40:40Z
1544,1523,1970-01-01T09:40:40Z
1463,1628,1970-01-01T09:40:40Z
1602,1631,1970-01-01T09:40:40Z
1519,1523,1970-01-01T09:40:40Z
1539,1529,1970-01-01T09:40:40Z
1544,1529,1970-01-01T09:40:40Z
1583,1510,1970-01-01T09:40:40Z
1539,1599,1970-01-01T09:41:00Z
1539,1519,1970-01-01T09:41:00Z
1544,1523,1970-01-01T09:41:00Z
1463,1628,1970-01-01T09:41:00Z
1600,1523,1970-01-01T09:41:00Z
1602,1631,1970-01-01T09:41:00Z
1519,1523,1970-01-01T09:41:00Z
